"","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityEndTime.Time","ActivityDepthHeightMeasure.MeasureValue","MonitoringLocationIdentifier","ActivityLocation.LatitudeMeasure","ActivityLocation.LongitudeMeasure"
"1486",2017-08-24,"13:01:00","","",0.5,"USGS-10147100",NA,NA
"1487",2017-08-24,"13:01:00","","",0.5,"USGS-10147100",NA,NA
"1488",2017-08-24,"13:01:00","","",0.5,"USGS-10147100",NA,NA
"1489",2017-08-24,"13:01:00","","",0.5,"USGS-10147100",NA,NA
"1490",2017-08-24,"13:01:00","","",0.5,"USGS-10147100",NA,NA
"1491",2017-08-24,"13:01:00","","",0.5,"USGS-10147100",NA,NA
"1492",2017-08-24,"13:01:00","","",0.5,"USGS-10147100",NA,NA
"1493",2017-08-23,"14:15:00","","",NA,"UTAHDWQ_WQX-4996780",40.32634338,-111.642149
"1494",2017-08-23,"14:15:00","","",NA,"UTAHDWQ_WQX-4996780",40.32634338,-111.642149
"1495",2017-08-23,"14:15:00","","",NA,"UTAHDWQ_WQX-4996780",40.32634338,-111.642149
"1496",2017-08-23,"14:15:00","","",NA,"UTAHDWQ_WQX-4996780",40.32634338,-111.642149
"1497",2017-08-23,"14:15:00","","",NA,"UTAHDWQ_WQX-4996780",40.32634338,-111.642149
"1498",2017-08-23,"14:15:00","","",NA,"UTAHDWQ_WQX-4996780",40.32634338,-111.642149
"1499",2017-08-23,"14:15:00","","",NA,"UTAHDWQ_WQX-4996780",40.32634338,-111.642149
"1500",2017-08-23,"14:15:00","","",NA,"UTAHDWQ_WQX-4996780",40.32634338,-111.642149
"1501",2017-08-23,"14:15:00","","",NA,"UTAHDWQ_WQX-4996780",40.32634338,-111.642149
"1502",2017-08-23,"14:15:00","","",NA,"UTAHDWQ_WQX-4996780",40.32634338,-111.642149
"1503",2017-08-23,"14:15:00","","",NA,"UTAHDWQ_WQX-4996780",40.32634338,-111.642149
"1504",2017-08-23,"14:15:00","","",NA,"UTAHDWQ_WQX-4996780",40.32634338,-111.642149
"1505",2017-08-23,"14:15:00","","",NA,"UTAHDWQ_WQX-4996780",40.32634338,-111.642149
